rank,prev_rank,name,league,off,def,spi
554,555,Kilmarnock,Scottish Premiership,0.77,1.98,20.43
555,564,Halmstads BK,Swedish Allsvenskan,0.64,1.78,20.35
556,552,Newcastle Jets,Australian A-League,0.76,1.98,20.3
557,559,Hamilton Academical,Scottish Premiership,0.68,1.88,19.93
558,560,Chateauroux,French Ligue 2,0.63,1.79,19.87
559,554,Lillestrom,Norwegian Tippeligaen,0.74,2.0,19.65
560,561,San Diego Loyal SC,United Soccer League,0.72,2.0,19.09
561,565,Mjondalen,Norwegian Tippeligaen,0.62,1.84,18.98
562,562,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
563,563,Fleetwood Town,English League One,0.54,1.71,18.88
564,566,Niort,French Ligue 2,0.6,1.82,18.71
565,567,Ross County,Scottish Premiership,0.75,2.09,18.62
566,576,Vegalta Sendai,Japanese J League,0.64,1.91,18.58
567,557,Tromso,Norwegian Tippeligaen,0.7,2.02,18.53
568,589,Sandefjord,Norwegian Tippeligaen,0.65,1.92,18.48
569,569,Accrington Stanley,English League One,0.8,2.19,18.45
570,570,Rochdale,English League One,0.78,2.15,18.44
571,572,Crewe Alexandra,English League One,0.66,1.96,18.3
572,580,Miami FC,United Soccer League,0.75,2.11,18.29
573,568,Austin Bold FC,United Soccer League,0.76,2.13,18.25
574,556,Tulsa Roughnecks,United Soccer League,0.71,2.05,18.21
575,573,US Pescara,Italy Serie B,0.57,1.81,18.14
576,574,Colorado Springs Switchbacks FC,United Soccer League,0.72,2.08,18.11
577,575,Wigan,English League One,0.74,2.12,18.09
578,571,Oita Trinita,Japanese J League,0.55,1.8,17.88
579,578,Ipswich Town,English League One,0.44,1.6,17.87
580,579,Doncaster Rovers,English League One,0.71,2.09,17.81
581,582,Morecambe,English League Two,0.69,2.06,17.71
582,581,Shrewsbury Town,English League One,0.57,1.85,17.61
583,583,Exeter City,English League Two,0.6,1.93,17.31
584,584,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
585,585,AFC Wimbledon,English League One,0.63,2.0,17.12
586,586,Bolton,English League Two,0.54,1.85,17.01
587,587,Cheltenham Town,English League Two,0.47,1.71,16.95
588,588,Reggiana,Italy Serie B,0.51,1.8,16.89
589,577,Melbourne Victory,Australian A-League,0.82,2.38,16.61
590,590,Salford City,English League Two,0.39,1.6,16.46
591,591,Cosenza,Italy Serie B,0.54,1.9,16.32
592,592,Cambridge United,English League Two,0.64,2.13,15.96
593,593,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
594,594,Memphis 901 FC,United Soccer League,0.67,2.23,15.3
595,596,Virtus Entella,Italy Serie B,0.53,2.05,14.53
596,597,Northampton Town,English League One,0.47,1.96,14.18
597,599,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
598,595,Charleston Battery,United Soccer League,0.52,2.1,13.87
599,600,Mansfield Town,English League Two,0.49,2.03,13.84
600,598,Rio Grande Valley FC Toros,United Soccer League,0.51,2.09,13.6
601,601,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
602,602,Swindon Town,English League One,0.7,2.49,13.37
603,606,Yokohama FC,Japanese J League,0.56,2.24,13.23
604,603,Oldham Athletic,English League Two,0.77,2.64,13.17
605,604,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
606,610,Newport County,English League Two,0.35,1.83,12.81
607,605,Plymouth Argyle,English League One,0.55,2.26,12.74
608,607,Carlisle United,English League Two,0.42,2.05,12.32
609,608,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
610,609,Tacoma Defiance,United Soccer League,0.54,2.29,12.25
611,612,Real Monarchs SLC,United Soccer League,0.46,2.19,11.76
612,611,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
613,622,Atlanta United 2,United Soccer League,0.53,2.35,11.7
614,617,Oakland Roots,United Soccer League,0.43,2.15,11.56
615,613,Oklahoma City Energy FC,United Soccer League,0.45,2.22,11.27
616,614,Port Vale,English League Two,0.37,2.05,11.24
617,616,Hartford Athletic,United Soccer League,0.45,2.27,10.92
618,615,Tranmere Rovers,English League Two,0.31,1.95,10.88
619,618,Forest Green Rovers,English League Two,0.42,2.21,10.8
620,620,Bristol Rovers,English League One,0.3,2.02,10.07
621,621,Stevenage,English League Two,0.2,1.79,9.89
622,623,Barrow,English League Two,0.34,2.19,9.62
623,619,LA Galaxy II,United Soccer League,0.41,2.38,9.37
624,624,Leyton Orient,English League Two,0.32,2.21,9.09
625,625,Crawley Town,English League Two,0.36,2.32,8.96
626,626,Las Vegas Lights FC,United Soccer League,0.44,2.55,8.59
627,633,New York Red Bulls II,United Soccer League,0.43,2.54,8.54
628,627,Bradford City,English League Two,0.23,2.05,8.44
629,628,Southend United,English League Two,0.2,1.99,8.29
630,630,Walsall,English League Two,0.2,2.02,8.13
631,631,Harrogate Town,English League Two,0.33,2.36,8.09
632,629,Swope Park Rangers,United Soccer League,0.35,2.41,8.05
633,632,Loudoun United FC,United Soccer League,0.35,2.46,7.78
634,634,Colchester United,English League Two,0.2,2.12,7.42
635,635,Grimsby Town,English League Two,0.2,2.29,6.44
636,636,Scunthorpe,English League Two,0.2,2.38,5.95
